precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform
SF_0001,DDB-I_SF_S1-001_A3,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],3,9,29/10/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0002,DDB-I_SF_S1-001_A4_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],4,9,13/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0003,DDB-I_SF_S1-001_A5_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],5,9,19/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0004,DDB-I_SF_S1-001_A6_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],6,9,26/11/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0005,DDB-I_SF_S1-001_A4_RNAseq2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],4,9,11/12/2020,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0006,DDB-I_SF_S1-001_A8_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],8,9,01/03/2021,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0007,DDB-I_SF_S1-001_A7_RNA_seq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],7,9,20/05/2021,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0008,DDB-I_SF_S1-001_B6_RNAseq_Control_1,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0009,DDB-I_SF_S1-001_B6_RNAseq,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0010,DDB-I_SF_S1-001_B6_RNAseq_Control_2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],6,8,23/09/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0011,DDB_SF_S1-001_B7_RNAseq__3,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],7,8,02/11/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0012,DDB_SF_S1-001_B7_RNAseq__2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],7,8,02/11/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0013,DDB_SF_S1-001_B7_RNAseq__1,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],7,8,02/11/2021,Escherichia coli BW25113,DDB7,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0014,DDB_I_SF_S1_001_B2,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],2,8,21/02/2022,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0015,DDB_I_SF_S1_001_A1,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[MG1655_WT]_[SF]_[A],1,9,21/02/2022,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
SF_0016,DDB_I_SF_S1_001_B1,DDB-I_SF_S1-001,ddb-i_sf_s1-001,[DDB_ctrl]_[BW25113_WT]_[SF]_[B],1,8,21/02/2022,Escherichia coli K-12 MG1655,DDB8,M9,glucose(4),NH4Cl(1),O2,M9,,30,6.5,,Shake-Flask,0,,,,,,,,,,PAIRED,ILLUMINA
DDB_0001,DDB_PD_001_RNA_5,DDB_PD_001_AMBR,ddb_pd_001,[DDB_PD_001]_[HMP3427]_[Batch]_[5h],1,3,13/02/2020,Escherichia coli HMP30,HMP3427,DDB_BM_001_Kan,glucose(4),NH4Cl(1),O2,DDB_TM_001_Kan,,30,6.5,,AMBR,5,,,,,,,,,,PAIRED,ILLUMINA
DDB_0002,DDB_PD_001_RNA_6,DDB_PD_001_AMBR,ddb_pd_001,[DDB_PD_001]_[HMP3427]_[Batch]_[5h],2,3,13/02/2020,Escherichia coli HMP30,HMP3427,DDB_BM_001_Kan,glucose(4),NH4Cl(1),O2,DDB_TM_001_Kan,,30,6.5,,AMBR,5,,,,,,,,,,PAIRED,ILLUMINA
