precise_ID,sample_id,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,per_tile_sequence_quality,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
SF_0001,DDB-I_SF_S1-001_A3,5052574,3722459,168227,200941,0,0,0,0,11334,0,0,0,0,722610,222071,4932,73.67450729,5052574,4851633,96.02,200941,3.98,DDB-I_SF_S1-001_A3_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5052574,0,20-151,51,24.95878432,133.5108507,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,fail,5101150,882731,5101150,687168259,5641626,679695211,1.08751356,0.0238,0.4609,0.5153,0,0
SF_0002,DDB-I_SF_S1-001_A4_RNAseq,6138574,4083306,505811,335390,0,0,0,0,25386,0,0,0,0,940457,243214,5010,66.51880388,6138574,5803184,94.54,335390,5.46,DDB-I_SF_S1-001_A4_RNAseq_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6138574,0,20-151,51,23.63711812,133.7330448,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,warn,6245408,1108985,6245408,830461611,6717387,821795366,1.043545528,0.0241,0.4521,0.5238,0,0
SF_0003,DDB-I_SF_S1-001_A5_RNAseq,3689324,2276304,164721,339574,0,0,0,0,39930,0,0,0,0,711137,154789,2869,61.69975855,3689324,3349750,90.8,339574,9.2,DDB-I_SF_S1-001_A5_RNAseq_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3689324,0,20-151,52,29.82332881,119.2820584,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,3883337,666113,3883337,481119425,4214134,469337210,2.448916919,0.038,0.4652,0.4967,0,0
SF_0004,DDB-I_SF_S1-001_A6_RNAseq,1698863,1178943,127920,48478,0,0,0,0,4843,0,0,0,0,262586,74565,1528,69.39600191,1698863,1650385,97.15,48478,2.85,DDB-I_SF_S1-001_A6_RNAseq_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,1698863,0,20-151,51,29.18579449,132.5127217,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,1717005,293160,1717005,228953900,848407,227476773,0.645163502,0.0244,0.4509,0.5247,0,0
SF_0005,DDB-I_SF_S1-001_A4_RNAseq2,12218353,8148636,274385,1476775,0,0,0,0,16120,0,0,0,0,1788571,505994,7872,66.69177098,12218353,10741578,87.91,1476775,12.09,DDB-I_SF_S1-001_A4_RNAseq2_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12218353,0,20-151,51,18.27714137,136.0536286,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,12252550,2949263,12252550,1705160401,17130314,1673080400,1.881347994,0.0199,0.4826,0.4975,0,0
SF_0006,DDB-I_SF_S1-001_A8_RNAseq,5685290,3920887,154428,589368,0,0,0,0,26364,0,0,0,0,761190,228660,4393,68.96547054,5685290,5095922,89.63,589368,10.37,DDB-I_SF_S1-001_A8_RNAseq_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5685290,0,20-151,52,25.16017676,136.3314272,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,5858049,1033541,5858049,790562207,12695919,775704277,1.87941314,0.0214,0.4679,0.5107,0,0
SF_0007,DDB-I_SF_S1-001_A7_RNA_seq,4964024,3667789,123000,315269,0,0,0,0,13718,0,0,0,0,638197,197001,9050,73.88741473,4964024,4648755,93.65,315269,6.35,DDB-I_SF_S1-001_A7_RNA_seq_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4964024,0,20-151,51,21.7953412,144.2862788,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,4980626,769898,4980626,722829170,4962324,716633819,0.857097535,0.0156,0.4651,0.5193,0,0
SF_0008,DDB-I_SF_S1-001_B6_RNAseq_Control_1,7249945,5468864,47648,321747,0,0,0,0,2458,0,0,0,0,1057435,343846,7947,75.43317915,7249945,6928198,95.56,321747,4.44,DDB-I_SF_S1-001_B6_RNAseq_Control_1_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7249945,0,20-151,51,16.95317472,140.6221116,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,7338183,3631537,7338183,1108065633,7891108,1019717642,7.973173102,0.0168,0.4792,0.504,0,0
SF_0009,DDB-I_SF_S1-001_B6_RNAseq,2565092,1915434,42808,138391,0,0,0,0,9180,0,0,0,0,307789,149890,1600,74.67311114,2565092,2426701,94.6,138391,5.4,DDB-I_SF_S1-001_B6_RNAseq_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,2565092,0,20-151,50,25.31789578,129.5947709,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,2780136,1913221,2780136,419800536,3067936,332437907,20.81050916,0.0235,0.4502,0.5263,0,0
SF_0010,DDB-I_SF_S1-001_B6_RNAseq_Control_2,6191465,4644084,129149,277314,0,0,0,0,3444,0,0,0,0,821598,309020,6856,75.0078374,6191465,5914151,95.52,277314,4.48,DDB-I_SF_S1-001_B6_RNAseq_Control_2_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6191465,0,20-151,51,18.40451891,141.2400325,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,pass,6377601,3113121,6377601,963017751,7076906,899910332,6.553089902,0.0155,0.4694,0.5151,0,0
