,gene_id,gene_name,gene_ontology
0,b1881,cheZ,protein binding
1,b1881,cheZ,protein binding
2,b1881,cheZ,protein binding
3,b1881,cheZ,protein binding
4,b1881,cheZ,protein binding
5,b1881,cheZ,protein binding
6,b1881,cheZ,protein binding
7,b1881,cheZ,protein binding
8,b1881,cheZ,protein binding
9,b1881,cheZ,regulation of chemotaxis
10,b1881,cheZ,cytosol
11,b1881,cheZ,phosphoprotein phosphatase activity
12,b1881,cheZ,phosphoprotein phosphatase activity
13,b1881,cheZ,phosphoprotein phosphatase activity
14,b1881,cheZ,phosphoprotein phosphatase activity
15,b1881,cheZ,chemotaxis
16,b1881,cheZ,chemotaxis
17,b1881,cheZ,cytoplasm
18,b1881,cheZ,cytoplasm
19,b3774,ilvC,protein-containing complex
20,b3774,ilvC,identical protein binding
21,b3774,ilvC,metal ion binding
22,b3774,ilvC,cytoplasm
23,b3774,ilvC,cytoplasm
24,b3774,ilvC,magnesium ion binding
25,b3774,ilvC,magnesium ion binding
26,b3774,ilvC,magnesium ion binding
27,b3774,ilvC,magnesium ion binding
28,b3774,ilvC,oxidoreductase activity
29,b3774,ilvC,oxidoreductase activity
30,b3774,ilvC,branched-chain amino acid biosynthetic process
31,b3774,ilvC,branched-chain amino acid biosynthetic process
32,b3774,ilvC,cellular amino acid biosynthetic process
33,b3774,ilvC,NADP binding
34,b3774,ilvC,oxidation-reduction process
35,b3774,ilvC,oxidation-reduction process
36,b3774,ilvC,cytosol
37,b3774,ilvC,cytosol
38,b3774,ilvC,isoleucine biosynthetic process
39,b3774,ilvC,isoleucine biosynthetic process
40,b3774,ilvC,isoleucine biosynthetic process
41,b3774,ilvC,ketol-acid reductoisomerase activity
42,b3774,ilvC,ketol-acid reductoisomerase activity
43,b3774,ilvC,ketol-acid reductoisomerase activity
44,b3774,ilvC,ketol-acid reductoisomerase activity
45,b3774,ilvC,ketol-acid reductoisomerase activity
46,b3774,ilvC,valine biosynthetic process
47,b3774,ilvC,valine biosynthetic process
48,b3774,ilvC,valine biosynthetic process
49,b3774,ilvC,isoleucine biosynthetic process
50,b3774,ilvC,branched-chain amino acid biosynthetic process
51,b3774,ilvC,cytosol
52,b3774,ilvC,valine biosynthetic process
53,b3774,ilvC,ketol-acid reductoisomerase activity
54,b1661,cfa,bicarbonate binding
55,b1661,cfa,transferase activity
56,b1661,cfa,methyltransferase activity
57,b1661,cfa,lipid metabolic process
58,b1661,cfa,fatty acid biosynthetic process
59,b1661,cfa,cytosol
60,b1661,cfa,methylation
61,b1661,cfa,lipid modification
62,b1661,cfa,lipid biosynthetic process
63,b1661,cfa,cytoplasm
64,b1661,cfa,cytoplasm
65,b1661,cfa,cyclopropane-fatty-acyl-phospholipid synthase activity
66,b1661,cfa,cyclopropane-fatty-acyl-phospholipid synthase activity
67,b3771,ilvD,cytosol
68,b3771,ilvD,lyase activity
69,b3771,ilvD,branched-chain amino acid biosynthetic process
70,b3771,ilvD,branched-chain amino acid biosynthetic process
71,b3771,ilvD,cellular amino acid biosynthetic process
72,b3771,ilvD,catalytic activity
73,b3771,ilvD,"4 iron, 4 sulfur cluster binding"
74,b3771,ilvD,"4 iron, 4 sulfur cluster binding"
75,b3771,ilvD,iron-sulfur cluster binding
76,b3771,ilvD,iron-sulfur cluster binding
77,b3771,ilvD,metal ion binding
78,b3771,ilvD,isoleucine biosynthetic process
79,b3771,ilvD,isoleucine biosynthetic process
80,b3771,ilvD,isoleucine biosynthetic process
81,b3771,ilvD,dihydroxy-acid dehydratase activity
82,b3771,ilvD,dihydroxy-acid dehydratase activity
83,b3771,ilvD,dihydroxy-acid dehydratase activity
84,b3771,ilvD,dihydroxy-acid dehydratase activity
85,b3771,ilvD,valine biosynthetic process
86,b3771,ilvD,valine biosynthetic process
87,b3771,ilvD,valine biosynthetic process
88,b3771,ilvD,cytosol
89,b3771,ilvD,hydro-lyase activity
90,b1270,btuR,cobalamin biosynthetic process
91,b1270,btuR,porphyrin-containing compound biosynthetic process
92,b1270,btuR,aerobic cobalamin biosynthetic process
93,b1270,btuR,transferase activity
94,b1270,btuR,ATP binding
95,b1270,btuR,ATP binding
96,b1270,btuR,nucleotide binding
97,b1270,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity"
98,b1270,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity"
99,b1270,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity"
100,b1270,btuR,cobalamin biosynthetic process
101,b1270,btuR,cobalamin biosynthetic process
102,b1270,btuR,cobalamin biosynthetic process
103,b1270,btuR,cobalamin biosynthetic process
104,b1270,btuR,cytoplasm
105,b1270,btuR,cytoplasm
106,b4131,cadA,lysine decarboxylase activity
107,b4131,cadA,lysine catabolic process
108,b4131,cadA,guanosine tetraphosphate binding
109,b4131,cadA,carboxy-lyase activity
110,b4131,cadA,carboxy-lyase activity
111,b4131,cadA,lyase activity
112,b4131,cadA,cellular amino acid metabolic process
113,b4131,cadA,catalytic activity
114,b4131,cadA,identical protein binding
115,b4131,cadA,identical protein binding
116,b4131,cadA,identical protein binding
117,b4131,cadA,protein binding
118,b4131,cadA,protein binding
119,b4131,cadA,protein binding
120,b4131,cadA,protein binding
121,b4131,cadA,lysine decarboxylase activity
122,b4131,cadA,lysine decarboxylase activity
123,b4131,cadA,lysine decarboxylase activity
124,b4131,cadA,cytoplasm
125,b4131,cadA,cytoplasm
126,b4131,cadA,cytoplasm
127,b3068,mug,DNA N-glycosylase activity
128,b3068,mug,hydrolase activity
129,b3068,mug,cellular response to DNA damage stimulus
130,b3068,mug,DNA repair
131,b3068,mug,DNA repair
132,b3068,mug,DNA repair
133,b3068,mug,pyrimidine-specific mismatch base pair DNA N-glycosylase activity
134,b3068,mug,pyrimidine-specific mismatch base pair DNA N-glycosylase activity
135,b3068,mug,"base-excision repair, AP site formation"
136,b3068,mug,"base-excision repair, AP site formation"
137,b3068,mug,DNA binding
138,b3068,mug,cytoplasm
139,b3068,mug,cytoplasm
140,b3068,mug,cytoplasm
141,b2552,hmp,oxygen binding
142,b2552,hmp,oxidoreductase activity
143,b2552,hmp,oxidoreductase activity
144,b2552,hmp,metal ion binding
