precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
ecoli_00001,control__wt_glc__1,Control,control,wt_glc,1,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1101/080929,GSE65643,1,SRX865357,SRR1787590,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE
ecoli_00002,control__wt_glc__2,Control,control,wt_glc,2,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1101/080929,GSE65643,1,SRX865358,SRR1787591,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE
ecoli_00003,fur__wt_dpd__1,Fur,fur,wt_dpd,1,2,02/10/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469840,SRR1168135,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE
ecoli_00004,fur__wt_dpd__2,Fur,fur,wt_dpd,2,2,02/10/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469841,SRR1168136,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE
ecoli_00005,fur__wt_fe__1,Fur,fur,wt_fe,1,2,05/09/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,,1.06,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469838,SRR1168133,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE
ecoli_00006,fur__wt_fe__2,Fur,fur,wt_fe,2,2,05/09/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,,1.06,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469839,SRR1168134,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE
ecoli_00007,fur__delfur_dpd__1,Fur,fur,delfur_dpd,1,2,02/10/2013,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469844,SRR1168139,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:delfur_dpd,TRUE
ecoli_00008,fur__delfur_dpd__2,Fur,fur,delfur_dpd,2,2,02/10/2013,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469845,SRR1168140,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:delfur_dpd,TRUE
ecoli_00009,fur__delfur_fe2__1,Fur,fur,delfur_fe2,1,2,05/09/2013,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin (50 ug/mL),Batch,,0.62,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469842,SRR1168137,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:delfur_fe2,TRUE
ecoli_00010,fur__delfur_fe2__2,Fur,fur,delfur_fe2,2,2,05/09/2013,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin (50 ug/mL),Batch,,0.62,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469843,SRR1168138,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,fur:delfur_fe2,TRUE
